Concello,CODIGOINE,poboacion
Vilagarcía de Arousa,36060,37545.0
Vilanova de Arousa,36061,10306.0
"Illa de Arousa, A",36901,4951.0
Ourense,32054,104596.0
Paderne de Allariz,32055,1373.0
Padrenda,32056,1653.0
Porqueira,32062,827.0
Parada de Sil,32057,544.0
Punxín,32065,704.0
"Pereiro de Aguiar, O",32058,6470.0
Quintela de Leirado,32066,614.0
"Peroxa, A",32059,1826.0
Petín,32060,879.0
Piñor,32061,1162.0
Rairiz de Veiga,32067,1223.0
"Pobra de Trives, A",32063,2015.0
Pontedeva,32064,491.0
Ramirás,32068,1507.0
San Amaro,32074,1048.0
Ribadavia,32069,5005.0
San Xoán de Río,32070,505.0
Riós,32071,1459.0
"Rúa, A",32072,4245.0
San Cibrao das Viñas,32075,5509.0
Rubiá,32073,1390.0
Sandiás,32077,1181.0
San Cristovo de Cea,32076,2072.0
"Teixeira, A",32080,336.0
Toén,32081,2374.0
"Veiga, A",32083,886.0
Verín,32085,13644.0
Viana do Bolo,32086,2787.0
Vilamarín,32087,1882.0
Vilamartín de Valdeorras,32088,1837.0
Vilar de Barrio,32089,1258.0
Vilar de Santos,32090,791.0
Vilardevós,32091,1781.0
Vilariño de Conso,32092,513.0
Arbo,36001,2599.0
Barro,36002,3622.0
Baiona,36003,12286.0
Bueu,36004,11987.0
Caldas de Reis,36005,9788.0
Cambados,36006,13673.0
Campo Lameiro,36007,1769.0
Cangas,36008,26708.0
"Cañiza, A",36009,5115.0
Catoira,36010,3316.0
Covelo,36013,2455.0
Meaño,36027,5314.0
Crecente,36014,1961.0
Nigrán,36035,18005.0
Oia,36036,3104.0
Cuntis,36015,4643.0
Dozón,36016,1057.0
"Estrada, A",36017,20261.0
Pazos de Borbén,36037,2975.0
Pontevedra,36038,83114.0
Forcarei,36018,3268.0
Fornelos de Montes,36019,1594.0
Agolada,36020,2228.0
Gondomar,36021,14920.0
"Grove, O",36022,10699.0
"Guarda, A",36023,9991.0
Lalín,36024,20199.0
Pontecesures,36044,3081.0
Redondela,36045,29192.0
"Lama, A",36025,2410.0
Marín,36026,24248.0
Meis,36028,4796.0
Moaña,36029,19496.0
Mondariz,36030,4394.0
Mondariz-Balneario,36031,675.0
Moraña,36032,4121.0
Mos,36033,15190.0
"Neves, As",36034,3770.0
"Porriño, O",36039,20212.0
Tomiño,36054,13730.0
Portas,36040,2860.0
Poio,36041,17230.0
Tui,36055,17398.0
Ponteareas,36042,22942.0
Ponte Caldelas,36043,5548.0
Ribadumia,36046,5157.0
Rodeiro,36047,2361.0
"Rosal, O",36048,6376.0
Salceda de Caselas,36049,9249.0
Salvaterra de Miño,36050,10048.0
Sanxenxo,36051,17635.0
Silleda,36052,8845.0
Soutomaior,36053,7482.0
Cerdedo-Cotobade,36011,
