Season,Winner,Runner-up,Third Place,Top Scorer,Top scorer's club(s),Goals
1988–89,Real Madrid ,Barcelona ,Valencia,Baltazar,Atlético Madrid,35
1989–90,Real Madrid ,Valencia ,Barcelona,Hugo Sánchez,Real Madrid,38
1990–91,Barcelona ,Atlético Madrid ,Real Madrid,Emilio Butragueño,Real Madrid,19
1991–92,Barcelona  ,Real Madrid ,Atlético Madrid,Manolo,Atlético Madrid,27
1992–93,Barcelona ,Real Madrid ,Deportivo La Coruña,Bebeto,Deportivo La Coruña,29
1993–94,Barcelona ,Deportivo La Coruña ,Zaragoza,Romário,Barcelona,30
1994–95,Real Madrid ,Deportivo La Coruña ,Real Betis,Iván Zamorano,Real Madrid,28
1995–96,Atlético Madrid ,Valencia ,Barcelona,Juan Antonio Pizzi,Tenerife,31
1996–97,Real Madrid ,Barcelona ,Deportivo La Coruña,Ronaldo,Barcelona,34
1997–98,Barcelona ,Athletic Bilbao ,Real Sociedad,Christian Vieri,Atlético Madrid,24
1998–99,Barcelona ,Real Madrid ,Mallorca,Raúl,Real Madrid,25
1999–2000,Deportivo La Coruña ,Barcelona ,Valencia,Salva Ballesta,Racing Santander,27
2000–01,Real Madrid ,Deportivo La Coruña ,Mallorca,Raúl,Real Madrid,24
2001–02,Valencia ,Deportivo La Coruña ,Real Madrid,Diego Tristán,Deportivo La Coruña,21
2002–03,Real Madrid ,Real Sociedad ,Deportivo La Coruña,Roy Makaay,Deportivo La Coruña,29
2003–04,Valencia  ,Barcelona ,Deportivo La Coruña,Ronaldo,Real Madrid,25
2004–05,Barcelona ,Real Madrid ,Villarreal,Diego Forlán,Villarreal,25
2005–06,Barcelona  ,Real Madrid ,Valencia,Samuel Eto'o,Barcelona,26
2006–07,Real Madrid ,Barcelona ,Sevilla,Ruud van Nistelrooy,Real Madrid,25
2007–08,Real Madrid ,Villarreal ,Barcelona,Daniel Güiza,Mallorca,27
2008–09,Barcelona  ,Real Madrid ,Sevilla,Diego Forlán,Atlético Madrid,32
2009–10,Barcelona ,Real Madrid ,Valencia,Lionel Messi,Barcelona,34
2010–11,Barcelona  ,Real Madrid ,Valencia,Cristiano Ronaldo,Real Madrid,40
2011–12,Real Madrid ,Barcelona ,Valencia,Lionel Messi,Barcelona,50
2012–13,Barcelona ,Real Madrid ,Atlético Madrid,Lionel Messi,Barcelona,46
2013–14,Atlético Madrid ,Barcelona ,Real Madrid,Cristiano Ronaldo,Real Madrid,31
2014–15,Barcelona  ,Real Madrid ,Atlético Madrid,Cristiano Ronaldo,Real Madrid,48
2015–16,Barcelona ,Real Madrid ,Atlético Madrid,Luis Suárez,Barcelona,40
2016–17,Real Madrid  ,Barcelona ,Atlético Madrid,Lionel Messi,Barcelona,37
2017–18,Barcelona ,Atlético Madrid ,Real Madrid,Lionel Messi,Barcelona,34
2018–19,Barcelona ,Atlético Madrid ,Real Madrid,Lionel Messi,Barcelona,36
2019–20,Real Madrid ,Barcelona ,Atlético Madrid,Lionel Messi,Barcelona,25
